,abT,gdT,NKT,NK,Monocyte,Neutrophil,Kupffer,Eosinophil,Mono_Mac
Ctrl_1,0.0014421804699999998,0.00015700803,0.00207991532,0.00073829055,0.00042073298000000004,7.093349e-05,7.139711e-05,0.00026263938,0.00010014139999999999
Ctrl_2,0.0035403397,0.00044585987,0.00356555202,0.0015605095499999998,0.00037323157,0.00014519732,0.00011331906,0.00034088794,0.00013821668
Ctrl_3,0.00128802679,0.00017606289000000002,0.0017338822200000002,0.00084659038,0.00033775811,8.112094000000001e-05,0.00013643068,0.00034685349,7.104228e-05
Ctrl_4,0.00324972437,0.00031973539000000004,0.00291620728,0.00148015436,0.00038916744,0.00012330924,0.00029471782,0.00023204290999999998,0.00010785914000000001
Ctrl_7,0.00220206288,0.00077326954,0.0005707095799999999,0.00069932894,0.00070733741,0.00023040578,0.0010550305699999999,0.00022290161,0.0001139522
Ctrl_8,0.0023748403800000002,0.0008110409,0.0005680888,0.00064143283,0.0008804772700000001,0.00024363006,0.00079319364,0.00031298675,0.00011079437
Ctrl_9,0.00255720809,0.00072014098,0.00068943419,0.00093054925,0.00081692105,0.00023031148,0.0005569803100000001,0.0003134726,0.00014565645
Ctrl_10,0.0023703724,0.0006536788200000001,0.00045804033000000004,0.0007166114899999999,0.0007831690700000001,0.00021430377,0.00116123326,0.00031892848000000004,8.946171e-05
Ctrl_12,0.00206328539,0.00080968963,0.00049265708,0.0006246782699999999,0.00081348509,0.00024331557999999998,0.00109194625,0.00031820271,9.894834e-05
Ctrl_15,0.00324946477,0.00017127256,0.00013572172,0.00134837861,0.00087028334,0.00026191085,7.92418e-05,0.00036573135999999997,2.8707950000000004e-05
Ctrl_16,0.0033886479,0.00017960314,0.00014970005,0.00125316105,0.00077821513,0.00014788110999999998,4.800618000000001e-05,0.00035462036,2.9796940000000002e-05
Ctrl_17,0.00232737524,0.00017717653,0.00015701169,0.00176373852,0.00095642675,0.00024942347,0.0001484808,0.00059250718,2.387021e-05
Ctrl_18,0.00225572142,0.00020402167999999997,0.00024301012,0.0016206905799999998,0.00109417697,0.00016733807999999998,0.00041383779,0.00053215765,6.704792000000001e-05
APAP_1,0.00157702062,0.00032313481999999996,0.00033049738,0.0007276668799999999,0.0019735845900000003,0.00063767141,0.00025742408,0.00043577017,0.00016404475000000003
APAP_2,0.00038082580999999996,0.00131318455,3.230833e-05,0.00020141148,0.0044948242599999995,0.00114141772,0.0004766403,0.00142047467,8.147361e-05
APAP_4,0.00021812355,0.00082867327,1.5043000000000001e-05,9.777952e-05,0.00575194322,0.00169989861,0.00065731666,0.00105778979,0.00012293004
APAP_6,0.0006559218999999999,0.00128992448,7.165224e-05,0.00031110702,0.00330403504,0.00088678096,7.832217000000001e-05,0.00105154759,5.8016420000000004e-05
APAP_8,0.00094609259,0.00021971672,0.00047100274999999997,0.00063068142,0.0032793758899999997,0.0005596867700000001,0.00107700624,0.00013951993,7.669944e-05
APAP_9,0.00031769008000000004,0.00042038701999999996,0.00012189547,0.00014459850999999998,0.0022548103599999997,0.0044534147,0.0012219334900000001,3.080382e-05,9.168151e-05
APAP_11,0.00029904376,0.00028223703,0.00018501884,8.649667e-05,0.00126014714,0.00629742911,0.00038852608,3.653798e-05,3.3066049999999995e-05
MDA_1,0.0005349929,0.00046839174999999995,0.0005422717199999999,0.0006390799599999999,0.00035302278,0.00082943925,0.00057644568,0.00016063084,0.00024934287
MDA_2,0.00098465712,0.00047151277,0.0011600711,0.00062119936,0.00032249192,0.00112493983,0.0037502578600000004,6.051021e-05,0.00014714983
MDA_3,0.00039492046000000005,0.0005456321499999999,0.0007912363899999999,0.00072250907,0.00066339066,0.00180684181,0.00035862786,0.00011151011,0.00015734266
MDA_4,0.00047063355,0.00063508569,0.00041517427000000004,0.00031118814000000004,0.00046327582999999996,0.00102214121,0.0014622977100000002,7.869465000000001e-05,0.00019918193
MDA_7,0.00140383278,0.00042868938,0.00157026769,0.00077633409,0.00063065728,0.00206965233,0.00022402335,0.00012581593,9.781301e-05
MDA_8,0.00057814137,0.00029555544,0.0011592757,0.0008095974499999999,0.0018514744399999998,0.00227820987,0.00016574471,0.00012955954,5.9268810000000005e-05
MDA_12,0.0007471809799999999,0.00020959673000000003,0.00059935335,0.00048176685,0.00232914293,0.00233285458,6.390497999999999e-05,6.729388e-05,4.760598e-05
ANIT_1,0.00054800839,0.0006951781999999999,0.0031719077600000003,0.00120880503,0.00324910421,0.00178336817,0.00025977903999999997,3.9937289999999994e-05,0.00015862944
ANIT_2,0.000404684,0.00140347856,0.0012682968799999999,0.00043740313,0.00125624344,0.0017343127,0.00054732424,6.841553e-05,9.695698000000001e-05
ANIT_3,0.00063463854,0.00064209138,0.00213380726,0.00122169352,0.00259392355,0.00214345348,0.00019492541,8.965842999999999e-05,0.00015463355999999998
ANIT_4,0.00089523266,0.0008969454799999999,0.0019577505,0.00081815587,0.0025554954,0.00219815918,0.00018913553999999998,8.012994e-05,0.00015845515
TAA_1,0.0008545467199999999,0.00022750919,0.00042657973,0.0002115558,0.00078537408,0.00537011312,1.240325e-05,3.224846e-05,4.117881e-05
TAA_3,0.00257125155,0.00022804493,0.00022424751,0.00031138826,0.00091580919,0.00190410986,1.147782e-05,0.00021888403000000002,5.295906e-05
TAA_6,0.0022696069,0.00040511344999999996,0.00022703739000000002,0.00025004794,0.00158168494,0.0025763554399999998,4.061187e-05,0.00014233371,4.266168e-05
TAA_7,0.00161174866,0.00031086138,0.00015555583,0.00031036079,0.002051004,0.00220306872,3.938725e-05,0.00017873836,4.350047999999999e-05
TAA_8,0.00238236369,0.00030354702,0.0002850067,0.00029542717,0.0012220110400000001,0.00247630702,2.98115e-05,9.151739000000001e-05,4.426161e-05
CIV_1,0.00285374679,0.00028072506,0.00020206610999999998,0.00137146253,0.0008043744699999999,0.00019270293,0.00016800226,0.00043989818,6.354294e-05
CIV_4,0.0027611990600000004,0.00028449534,0.00022162344,0.00157539014,0.0007931867300000001,0.00016931485999999998,0.00015380704,0.00033608745000000004,5.338757e-05
CIV_7,0.0013874794200000001,0.001188548,4.939682e-05,0.00055210189,0.00043821398,0.00012068542,0.0040305245099999994,0.00025518978,0.00015477214
CIV_8,0.00128747854,0.00125610884,3.863426e-05,0.00046427155999999997,0.0005511811,0.00015498063,0.00400856143,0.00027777778,0.00014466942
ConA_2,0.00268527635,0.00048351473,0.00025812289,0.0010870433,0.00075496723,0.00128420945,5.764277e-05,0.00051801974,8.518886999999999e-05
ConA_3,0.00241191808,0.00044280525000000003,0.00044280525000000003,0.0012022819999999998,0.00053812627,0.001678462,6.818280000000001e-05,0.00060932982,8.911232999999999e-05
ConA_4,0.00269443794,0.00038848584,0.00034363055,0.00092557922,0.00049948761,0.00123695297,6.945762e-05,0.00047557597,8.426006999999999e-05
ConA_5,0.00269752681,0.00035182753,0.00017509302,0.00091814401,0.00053993503,0.00117340652,4.200739e-05,0.00032821777,8.737538e-05
ConA_8,0.00216667183,0.00052812432,0.0003231898,0.00104015107,0.00061892849,0.00207511615,0.00016439780000000002,0.00047694857,0.00010591636999999999
ConA_11,0.00125732899,0.00021758957999999998,0.00041824104,0.00148459749,0.00098729979,0.00224458017,6.329882e-05,0.00041215014,1.132503e-05
ConA_12,0.00124491329,0.0002538659,0.00041100607,0.00144556439,0.00099925346,0.0025567506299999996,4.53452e-05,0.00029916775,1.5207230000000001e-05
CIP_1,0.00208900579,0.00095465544,0.00072046291,0.00123177275,0.00057347823,9.949398999999999e-05,0.00047846788,0.00041292141,7.195166000000001e-05
CIP_2,0.00201626665,0.00072424263,0.0008731688899999999,0.0013589522000000001,0.00077272157,0.00012108410999999999,0.00048830984,0.0003327199,7.88406e-05
CIP_7,0.00138922396,0.00100623241,0.0005511995699999999,0.00074152258,0.00068035866,0.00023173391000000002,0.00158699867,0.00037016842,0.0001308615
CIP_8,0.00120423528,0.00123964385,0.00050018907,0.00061707175,0.00040802036999999997,0.00013208148,0.0025996180800000003,0.00022246976,9.611712e-05
GAL_2,0.00137571157,0.0008481148400000001,0.00018624701,0.0007590132800000001,0.0022271924300000003,0.00043335803,0.00011254203000000001,0.00076386119,9.14582e-05
GAL_4,0.00209323012,0.00086265307,0.00027121146,0.0007789995600000001,0.00168436167,0.00049687557,0.00020971101999999999,0.0005338834,0.00010010314
GAL_7,0.0017050731599999999,0.0010575659299999999,0.00035595373999999997,0.0008426794,0.00225883368,0.00053040103,0.00011160997000000001,0.00067346473,0.00012378561
GAL_8,0.00159999035,0.00100388242,0.00050206178,0.00099905954,0.0020700670600000003,0.0005866202,0.00022466867,0.0006959184799999999,0.00014414700000000001
CCl4_1,0.0006207262699999999,0.00040561196,0.0001126253,0.0006057632,0.00244280845,0.0011246793400000001,0.0009751555000000001,0.00133552377,0.00013371051000000001
CCl4_5,0.00083305482,0.00020459466,9.067263e-05,0.00040599253000000004,0.0021510626099999998,0.0018259318599999999,0.00032059615,0.00107666495,0.00011502765999999999
CCl4_6,0.00102857619,0.00046221778,0.00018162126000000002,0.00064700492,0.00204040121,0.00104071684,0.00054341727,0.00086624114,9.644385e-05
CCl4_8,0.00069978064,0.00036409864000000003,0.00014175086,0.0004579899,0.00195473056,0.00103210531,0.00080613694,0.00118155128,0.00014262714
CCl4_10,0.00117508878,0.00014232613,6.066133e-05,0.0012668407700000002,0.00232480818,0.00055558899,0.00038348127000000003,0.00111388596,2.1663910000000002e-05
CCl4_11,0.00098659541,0.00025717282,4.7124410000000006e-05,0.0007995344999999999,0.00266219172,0.00103039445,0.00029353647,0.00115242477,5.3397690000000005e-05
CCl4_12,0.0012629579799999999,0.00014465459,5.096146e-05,0.0011422014699999999,0.00269011027,0.0007580099,0.00037405573999999995,0.00090145003,3.438395e-05
