,B,CD4,CD8,Monocyte,NK,Neutrophil
A4GALT,6.571146361428435,0.0,0.0,0.0,0.30921165829450337,0.0
ABCA6,2.0251587193146743,0.0,0.2378309907187687,5.727218132121182,0.3806723053326731,0.0
ABCA9,0.0,0.0,0.7990622596973994,7.378642854920325,0.0,3.111471196245546
ACBD7,0.0,0.0,1.511241390494845,0.0,0.0,0.0
ACKR2,10.24448443438606,0.0,2.1928586331253643,0.0,0.8535574714438677,0.0
ACOD1,4.299548373073304,0.0,2.136615686965585,0.28772214666386386,2.10322507003451,8.00009308099704
ACTA2,1.494176123605607,1.9616060203809667,1.331372753043553,5.0520151546931,3.28386678350791,9.143401340325802
ACTN2,0.0,6.86047140693529,9.725710408739387,0.0,2.4754039770870944,0.0
ADAD1,0.0,2.5266316587398903,0.0,0.0,0.438272508113748,0.0
ADAM8,5.12782337501986,4.44189578443304,6.580660765339644,5.309326787454865,6.246341041220699,11.271602587737044
ADAMTS14,4.642950171519457,1.6479839293308252,5.364264650613469,0.0,12.776145025287848,0.0
ADCY6,4.725215758539361,7.794325132008286,6.189387299235808,1.5003528776974577,0.7672344410364011,0.0
ADH1,0.0,7.344461879014662,3.6793810535490534,0.0,0.0,0.0
ADK,9.571859261967786,11.1269657267687,8.862221135549198,8.288910035618816,9.34325641446586,6.86452836269849
ADORA2B,0.0,0.0,0.8467785569355584,7.487670082333905,3.839575135862497,0.0
AICDA,12.44645818386204,0.0,1.510685505782506,0.0,0.0,2.6386892075625608
AIF1,5.238573611195692,3.395330834361053,5.626649080675936,9.389245458921819,5.132278002758227,5.632765783821196
ALDOC,11.72560543640059,2.7259161747067298,4.1710437985796025,3.8351760847380216,5.893754328478888,3.476999242620512
ALOX5,0.0,0.0,4.3331481234832125,6.29182871219337,1.9139507487671243,11.178686061177547
ALPL,10.497794594375653,2.808833071628814,2.532881698684216,0.0,1.523050194537888,0.35498304305130124
AMER2,0.0,0.0,0.23066425876469582,0.07628428824734854,1.0864661933652677,7.226840070968512
ANGPT1,0.42493292356085416,0.0,0.6354639448963538,0.9700210867574242,9.405354509780313,0.0
ANKRD22,0.84131951114127,0.0,2.125781463443401,0.6691011928612856,0.0,7.782400980504649
ANXA8,0.0,0.0,0.0,0.0,7.509162711408689,0.0
APBA1,1.3651761361108923,0.0,1.0223251854828521,7.9194208744125545,0.0,0.0
AQP9,1.3362955953969455,1.9978038729409338,6.946910219922141,2.945101248716253,4.4685993554415715,10.746272045888649
AREG,0.0,4.097690813508766,0.0,0.0,0.0,0.0
ARG2,1.537662904791962,0.9841385820943178,2.6102922540063602,2.631498064345102,4.057552335933467,11.752337142046077
ARHGAP20,0.0,3.5268027748250024,0.6119753154008836,0.0,0.9126277198430883,0.0
ARHGAP29,2.5437366919418394,6.596776922293476,2.336970648363196,4.383856481909493,0.63254477946025,0.0
ARHGEF10L,2.3488402099433916,0.48566113807176,3.969375868047342,9.460762221925481,4.171359643891152,0.22629433843217236
ARHGEF37,0.3064243736973589,0.30160159256185776,2.607595278527314,9.372242776701633,1.7356632160909724,0.0
ARHGEF5,1.7856573126417263,2.520159783590162,3.2668707033837316,0.5622097824311012,8.222161456448834,0.0
ART3,1.5813159403842498,2.9525573927121407,4.736975741049411,1.852413825399274,3.098959781879351,2.812228556483876
ASB5,1.6495140513507693,2.505037405429261,1.0850465386705683,2.0162597355101752,8.481417516544123,0.0
ASGR2,0.0,0.0,0.0,3.1029489409991124,0.0,0.0
ATP4A,6.0269234580489774,0.0,0.31117519104848224,0.0,0.4038357615724649,0.0
BANK1,12.80391983988335,4.2796632774114265,6.478251280817004,3.5369929686012744,6.595489273414966,6.300401943441769
BCAR3,12.168054878776797,3.910002983495556,4.7081068143419795,0.616472674223042,3.0340004964516254,2.0190079238963072
BCAT1,9.106662334645023,3.1930714793046855,3.3693244275545027,0.31791569272341413,2.2456831272474207,0.0
BCL11A,11.999199999990044,3.109139470105316,4.769039148124001,6.621821960793751,3.6753893870779972,3.6897642305610847
BEX2,1.0351727446736803,2.395519136209264,4.548875377901917,0.0,1.6735741765452448,0.0
BHLHA15,9.109335889723653,3.560948495692613,2.3284111428478864,1.437714447442918,2.34526309933627,0.0
BLNK,13.101804782744916,4.425448922887468,6.909963230417937,2.2071163674707446,2.8267705227139492,4.206505143960602
BOLA2,11.597406096897915,10.21756977841646,13.129285086979596,10.314494797816657,11.488008806590845,6.452394542401356
BSND,5.217480799523358,0.0,0.0,0.0,0.0,0.0
C1QL3,0.7548010816128964,1.1869316081166772,0.0,0.0,7.874162614858156,0.0
C5AR1,0.5170557043074104,0.0,4.05294883822931,5.370430753750625,3.072518760926423,13.421126758850257
CABP4,9.123394385174402,3.0241864503426257,1.9616427800327454,0.5218760225672325,1.5784716586793175,0.0
CACNA1E,10.43474949930972,1.3817985352199722,1.8226416071904077,0.6985089538795748,2.1619258351979846,0.0
CACNA1H,8.053779803324723,0.0,2.318273597194346,0.0,0.0,0.0
CACNA1S,9.788418681010159,0.0,4.197945102396905,0.0,0.0,0.0
CACNG8,0.9520241562862386,0.0,5.454091569515719,0.0,2.783350650318928,0.0
CALR4,0.0,0.0,0.0,0.0,0.0,4.319907918077721
CAMK2A,8.316525623490465,1.2956448428861354,2.4354720206148,1.854390593513892,0.8306508134240349,0.0
CAMP,0.0,0.0,9.5266603127312,7.308495614906716,1.029077613620836,13.572210451563969
CAP2,0.4394563196774913,3.430326010891561,0.639494190712139,0.0,1.4849780874259655,0.0
CARMIL1,9.237009135505104,1.058560627202204,3.4429488625928446,4.038449778107815,2.764203433800037,0.0
CARMIL3,9.08720886629362,2.4037497521772817,2.595963654192236,0.9727476794383454,3.1702271097207504,0.0
CASS4,4.841194097256455,1.5549862911316232,1.7099608280678447,4.597444314751291,2.6576589964768957,8.434988569646404
CCDC80,0.0,0.0,0.26572302044886686,0.8965601777110506,1.199316491686325,6.4647718780505325
CCL20,0.0,1.5978245795000887,0.0,0.0,0.0,0.0
CCL22,10.462364031280057,1.6013460032906002,1.3181330229566304,0.0,0.0,0.0
CCL24,0.0,0.0,0.0,4.168264738420465,0.0,0.0
CCL6,3.3374346619638007,1.635272384934635,7.875331482774735,12.119141606348292,5.798787859767523,15.44570705519637
CCL9,3.8187585705892624,0.6559936672882685,6.357111043188443,12.23431723268688,7.984634129267494,6.746606811852801
CCN5,0.0,0.0,0.0,0.0,5.181838517401269,0.0
CCR1,5.334287332286782,0.0,2.967098265719022,8.147625997397071,3.0802857851497167,12.189695323394325
CCR4,1.2289992870244446,6.185061820058151,2.1476277321123556,0.0,1.8920763420312376,0.0
CCR6,12.261416266828984,4.524527139247325,4.253546274254205,0.0,0.0,0.0
CCR8,0.0,9.163665994641566,1.7368584432335645,0.0,0.0,0.0
CCR9,5.126161076442637,5.418266796919438,8.523115685469918,0.4577586351503165,3.7621018852332164,0.0
CD101,2.3894899460110905,6.581529700622828,6.083582658018621,3.3820527103048192,4.227617936688328,10.985145494447888
CD109,0.29772381050953345,0.0,0.0,3.544838271424933,0.17375277855665827,0.0
CD14,3.155726516231416,0.0,4.038223250616321,6.493686247352835,3.6601389337226666,9.803316971349084
CD19,14.814117145357379,7.407387288817418,9.423015702265193,0.0,0.0,3.8525816459492344
CD22,14.92206192910242,3.909517849032746,8.206293673116797,2.331343052251199,7.432682331435048,3.0931876817879242
CD300LG,0.0,0.0,2.1578001672423532,9.443980061173225,0.0,0.0
CD33,2.1948179641964045,0.3755170040937274,2.677324336240166,7.344370623288946,1.1742405124463733,11.773275960892512
CD34,1.5260028502062033,0.0,0.8738054959585753,7.230436607601212,3.7825145573236956,0.0
CD36,12.018825218816774,1.2584947417445498,3.759153627897843,3.337614362330053,3.2055955969903764,1.7499260788559001
CD3D,4.062556916166964,12.56596669109378,14.56237089009695,0.4282220558135035,9.456026838727054,5.5592021460017325
CD4,0.8121167144084536,12.0085973353798,4.601936079758371,0.0,0.0,0.0
CD40LG,0.0,11.406615048247996,3.953839439434793,0.0,0.0,0.0
CD5,3.771936207628995,13.2606220595036,11.663926408584572,1.5164580387935271,3.234198987199241,0.9855965444262239
CD63,4.824436934411571,1.4209102049730293,5.599529766852557,6.066485024435837,5.805072679090871,11.209285213649142
CD79A,15.708205503044258,7.5928882806993325,10.196333659825182,1.7090800898733347,5.700869514145822,5.815154566842333
CD79B,15.446460264585449,7.444010671418112,10.186242515895739,7.063718204445224,6.275518909774207,6.0190522566413005
CD8A,0.0,3.755606268056455,12.987487235067302,0.0,1.0166582729542806,0.7456714102804999
CDC42EP1,0.0,0.0,1.1950700034299626,0.0,6.912723253994734,0.0
CDH17,10.065181809046258,0.0,1.599870571553097,0.0,4.724135463032108,0.0
CDH22,0.0,0.0,0.42304155569798535,0.0,9.521815293349135,0.0
CDHR2,6.914916940170305,0.0,0.0,0.0,0.0,0.0
CDKL1,6.422318130131507,0.0,0.9791564430046696,0.0,0.4740240184814135,0.0
CDR2L,0.5119526615047891,2.2521008577540425,4.5356433451415805,2.026727220010961,2.0126400259655535,0.0
CEACAM18,0.0,0.0,0.0,0.0,0.30226822063252573,4.2210914539240285
CEACAM19,0.0,0.0,0.28160780565420973,4.340698150762403,1.0000814658860804,0.0
CEBPA,0.5356608509780605,0.7711720391295678,3.9914406170172323,9.434464281438842,1.795785384641478,2.9584167393279257
CECR2,8.726022872626837,2.1776053101298807,1.3668877399187749,0.08781501495951177,2.4267784429886152,0.7023287519358473
CES1D,0.0,0.0,0.0,0.0,0.0,5.532867809087854
CFH,0.0,0.0,1.1072315434218134,7.145522581011934,2.4007976541549976,0.8244735326096511
CHDH,0.0,2.3775269551088165,0.8494946209538701,6.116700583668523,0.2821172813979217,0.477493962511777
CHIT1,0.8650305783434517,0.0,1.1357183284282717,0.0,5.919076344839125,0.0
CHRM3,0.0,0.41960817340975887,2.193947329204844,1.6690879016097693,0.0,6.463608446389912
CHST3,11.509049512356043,4.392937598719195,4.851250021010628,0.0,1.6413256296201864,0.5421676261284182
CIITA,11.589373851233383,3.6850637481226136,5.0057685130720095,2.9687375523697876,2.1273339137227882,1.6503018393265994
CITED4,2.9996170974249137,3.6826936936995165,4.092252223144062,2.4376877317812626,9.952959033184559,0.0
CKM,0.0,0.0,0.0,0.913766898099335,6.915769927227657,0.0
CLDN1,0.0,0.0,0.6202004762101274,1.9727575255517749,0.0,5.309545909523889
CLDN4,0.9019383026699704,1.40282212358922,3.579393599239098,0.0,0.0,0.0
CLEC10A,0.0,0.0,3.627496391410188,8.624518722999367,0.0,0.0
CLEC4A1,2.439202096928663,1.6371021325765602,5.332850742324967,9.978991197612558,3.024699154137263,5.629727837525535
CLEC4D,2.7063773094109917,0.0,5.024351876105827,5.756404331953213,2.2210694519501777,12.672367011036904
CLEC4E,3.5923892310158703,0.0,3.988401283050454,6.671496873429206,6.7918573663313975,11.279313432078034
CLEC4F,0.0,0.0,1.5585368854490396,0.0,0.0,0.0
CLIP4,0.0,0.0,0.5433093910869904,0.0,9.811378334649831,0.0
CLNK,0.0,0.0,1.8448879781421699,0.0,10.870955129348575,0.0
CMA1,0.0,0.0,4.024663680616503,0.0,13.014383739213972,0.0
CNMD,0.0,0.0,0.0,0.0,4.776649503351489,0.0
COL19A1,0.0,0.0,0.0,0.0,5.242846883128939,0.0
COL8A2,0.0,0.0,0.5723038211198336,0.0,9.527383971050133,0.0
CRISPLD2,0.5389132934534389,0.0,1.2316796158231338,3.185690571858541,0.3405778898189179,8.403421510610421
CRMP1,0.5837791666958156,4.108849472737238,6.51835118298291,0.0,4.5043197465770035,0.0
CRYBB3,0.0,0.0,2.372153578355785,0.0,0.0,0.0
CSF2,4.007777290564542,2.993841653863731,3.5904156985442652,0.0,8.77647916565636,0.0
CSF3R,2.5630546909469665,0.0,6.91883223136314,10.267393586736263,1.9179055331233776,14.633567299158015
CTDSPL,2.998602239459765,2.2892330983586895,0.902945735273928,6.826001115510268,1.5549635931217962,2.0356843433030107
CTH,8.912178956179861,0.9178322579100457,0.2315188970268174,0.0,3.0980895710936363,0.0
CTSG,0.0,0.0,3.9907345114765134,11.199705864300778,0.0,0.0
CXCR2,0.5248901916404634,0.0,4.503881987027838,3.526295203038365,2.8231121212693395,13.794316975431103
CXCR6,0.7565403597145156,5.5579904664791675,9.647236227312675,0.0,7.106610946891813,0.0
CYM,0.0,0.0,3.694325370730061,0.0,10.414002868829026,0.0
CYP27A1,5.7799432397670385,0.8445195108922895,5.324237793187547,9.942717612988869,0.3458395993058945,0.0
CYP2AB1,0.0,0.0,1.707517389411314,6.38806766562401,0.0,1.121577212946522
CYSLTR1,3.42099870451079,0.3089907783871221,0.5454421410174812,7.145213488761107,1.816092827879472,2.693906535385396
DACT2,0.0,0.0,2.101535293077063,0.0,0.0,0.0
DAPK1,0.2089063826426475,6.7692980970882966,2.565391902526914,5.069281287919794,1.8723831622785878,1.7625510105892528
DBNDD1,1.7487240981677536,4.607571526339435,0.0,0.0,2.7543459859423383,0.0
DDR1,1.8763062533724464,7.448252870986306,5.356301514338059,2.954814990343893,2.603455052478018,0.0
DHRS9,0.0,0.4348040977887461,0.6564897677510977,0.18316681227754333,1.9596789061648476,9.824275426238163
DKK3,8.293573206571288,0.0,0.5766814237430248,0.0,0.48772479072611685,0.0
DLG5,0.0,0.0,5.066853790552523,0.14064990722632145,0.15887500619731207,0.0
DMKN,0.0,0.0,0.5024685509624807,7.394701458640392,0.0,0.0
DNAH2,0.11462789393160625,0.0,0.39157810861835585,5.5399245150059215,0.1985110133401113,0.0
DNAJC6,1.6047413296277155,3.985585334654551,1.5467534972876937,1.070391108522849,0.0,0.0
DOCK1,0.22841115749875227,0.0,0.5733763508459536,6.974689883957145,0.4683780952013881,0.0
DPF3,0.0,0.0,0.8470259838699249,0.6517573846808695,5.627795401139942,0.0
DRC1,0.0,5.051348401170929,6.884505523282155,0.0,0.733886371968404,0.0
EAF2,10.2903080488436,3.2930314635186533,4.187077770590644,1.5758278239198296,4.094804985627009,1.4245009349832798
EBF1,10.93107595738702,3.281759375944019,3.5923654386770467,0.8837790256254686,1.4771206646950987,1.215522881049236
ECM1,7.070409689998816,11.37524537240817,7.531359745050514,5.6937187778146034,4.744961315940005,5.0131184439511625
EHD2,8.002234000398719,0.8704634619318476,1.7729949520721324,0.4982568206649869,0.5853426913083164,0.0
ELANE,0.0,0.0,5.2462472917774585,12.021845592541274,1.721810228823229,0.0
ENDOU,10.655533733324383,0.9858888278018471,2.2789125239414147,0.0,0.0,0.0
ENPP5,0.0,4.493188615887752,5.255924382719613,0.6162074324151234,10.400534104723757,3.911058687410503
ENTPD3,1.0766340987632232,0.0,0.5019635181993363,0.0,0.0,6.795098911909973
EPAS1,3.536290337837222,6.619673402422813,3.4481375663031963,1.4374183488508807,4.454238908386545,0.30864647691359903
EPB41L1,1.203126996568068,4.801996568620683,1.975505259910456,2.1215667254500077,3.103236252189615,0.1608401911136243
EPHX4,1.0102149988151679,3.770315646334523,1.227977921896615,0.0,1.3886129234293647,0.0
ESM1,0.0,0.0,3.5814954254230815,0.0,0.9023735187213959,0.4825911664510236
ESPN,3.0199842374022654,9.000062179632272,4.605050589381467,3.6430476082710204,4.5345635389801355,0.0
F10,2.1161272896681993,0.0,3.2271514001980135,9.879873883249324,2.326834547051133,3.2540864816726502
F13A1,1.3587494449508464,2.89261001351344,3.8414123735686028,13.130474979811183,2.276720348915673,1.7590138815906995
F7,0.0,0.0,0.0,3.8093521272169424,0.0,0.4564951367689096
F9,6.250302733184752,0.0,0.13641314867280255,0.5066750907131374,0.34504514970628675,0.0
FADS2,10.586819907656823,0.5403619893716219,1.0880850172344192,2.518257820519182,1.5896088677583913,0.0
FAM131B,0.42806808821458464,0.46963434017527944,2.741893224793168,0.0,0.8555772472192389,0.16433588295252713
FAM167A,8.334522815639733,2.2676753796091673,2.1313258165149724,0.0,0.0,0.0
FAM184A,0.6044313453714586,0.0,2.066913282674823,0.0,8.81612433951339,0.0
FAM20C,3.392233373620026,0.0,1.2848756972868876,6.424730788062547,0.3681490670057064,2.27724776165997
FAM228B,4.7081054422912985,2.540257797996578,6.266119452919565,0.0,4.047519468655337,0.0
FAM71B,0.514807859215968,5.243840241093596,7.365931630970275,0.0,4.701476299816068,0.3701861633563174
FAM83A,0.0,1.001096733890556,0.6306879784017574,4.6832573833433,0.603059681310337,0.0
FCER1A,0.0,0.0,3.068065716313908,0.7796019623976835,0.8504771729039176,0.0
FCRL5,12.207315832647494,0.6460199112766513,3.618782176256178,0.0,0.37761335397864493,0.0
FCRL6,0.0,0.0,0.0,0.0,7.50677415728376,0.0
FFAR1,10.15610178001586,1.50900961966579,3.81857030858881,0.0,0.9570125754593071,0.0
FGF11,6.032760752020798,0.0,0.0,0.2599707306695661,0.4450149455493975,0.0
FGF20,0.0,0.0,2.408269100786776,0.0,0.0,0.0
FKBP1B,3.198644967144312,0.0,1.9326833135808579,9.116084532885075,2.9528920451088676,2.2495204640243336
FLT3,11.36592282373142,1.2826490826553762,2.745556663979159,4.82845622320254,1.9500206902628505,1.7692962992012105
FN1,2.4244776524147795,2.2757876995569246,4.47608278245211,12.878126869594066,5.445109705986564,0.9486824774426411
FN3K,2.252646113624193,2.1093069219959175,4.0138351694110055,0.0,0.0,0.0
FOSB,3.373291371159209,7.048028157628922,9.150963585018541,3.4607592903382427,5.636392455223525,3.2090561271024476
FOXP3,0.43443397943260675,8.752756720007165,5.072834231242812,0.2548483766807561,1.22592130023995,0.0
FPR1,1.0079798402395879,0.0,3.3931492420756326,4.994041924159827,3.1627854683549494,11.741678803971627
FUT1,6.557697561440969,0.0,0.3213275560064812,0.0,0.0,0.0
FZD4,0.21712992460743588,0.0,0.2253313591800607,4.7398389349242045,1.2974279293532183,0.0
GALNT14,0.0,0.8160307045810332,3.261546850619964,0.0,1.4541681128746882,0.0
GALR3,1.2279363816669275,0.0,3.372478007546674,0.0,0.0,0.0
GATA1,0.6045603373661514,6.493237455142647,4.676145313437839,1.191923295116441,1.494675902374438,0.0
